Participant,Condition,Block,Accuracy,RT,Model,wBIC,Agreed,simpStrat
22001,Easy-to-medium,1,0.9133333333,749.4096666667,GLC,0.942951586,CJ2,Complex
22001,Easy-to-medium,2,0.9127516779,799.5757718121,GLC,0.9996813363,CJ2,Complex
22002,Easy-to-medium,1,0.7933333333,875.2185885333,UD,0.6327079655,UDO,UD
22002,Easy-to-medium,2,0.72,744.4893333333,UD,0.5930627301,UDO,UD
22003,Easy-to-medium,1,0.9395973154,865.6534228188,CJ,0.987515725,CJ2,Complex
22003,Easy-to-medium,2,0.9466666667,782.7201333333,GLC,0.999997223,CJ2,Complex
22004,Easy-to-medium,2,0.94,744.6052666667,GLC,0.9857615713,CJ,CJ
22004,Easy-to-medium,1,0.9060402685,794.1077181208,GLC,0.8990900885,CJ,CJ
22005,Easy-to-medium,1,0.8333333333,1146.9652666667,UD,0.8854886071,Udexp,Complex
22005,Easy-to-medium,2,0.8445945946,1613.1945945946,GLC,0.5020519361,Udexp,Complex
22007,Easy-to-medium,1,0.8733333333,854.64,GLC,0.9044890556,CJ2,Complex
22007,Easy-to-medium,2,0.9466666667,752.9672,GLC,0.9999999332,CJ2,Complex
22008,Easy-to-medium,1,0.8911564626,877.4503401361,GLC,0.7050833656,CJ2,Complex
22008,Easy-to-medium,2,0.7933333333,728.2693333333,UD,0.8197495976,CJ2,Complex
22009,Easy-to-medium,2,0.94,836.8854666667,GLC,0.9999998535,SUR,Complex
22009,Easy-to-medium,1,0.8986486486,966.4430405405,CJ,0.9924813199,SUR,Complex
22010,Easy-to-medium,1,0.92,812.5688,GLC,0.7196652183,NA,NA
22010,Easy-to-medium,2,0.88,827.962,GLC,0.999976472,NA,NA
22011,Easy-to-medium,1,0.9466666667,671.4101333333,CJ,0.9999907099,CJ2,Complex
22011,Easy-to-medium,2,0.9666666667,689.2726666667,GLC,0.9999604785,CJ2,Complex
22012,Easy-to-medium,1,0.8066666667,969.0466666667,UD,0.8819214787,SUR,Complex
22012,Easy-to-medium,2,0.8,964.6643333333,UD,0.8146033983,SUR,Complex
22013,Easy-to-medium,2,0.9,575.4109333333,GLC,0.9999456474,RuleX,Complex
22013,Easy-to-medium,1,0.9,687.4422666667,CJ,0.8870226941,RuleX,Complex
22014,Easy-to-medium,2,0.96,766.7646,GLC,0.9995981241,2D,2D
22014,Easy-to-medium,1,0.8933333333,806.2659333333,GLC,0.6640823619,2D,2D
22015,Easy-to-medium,1,0.8851351351,951.4015462838,CJ,0.9971266905,RuleX,Complex
22015,Easy-to-medium,2,0.8333333333,958.9886666667,GLC,0.9997040372,RuleX,Complex
22016,Easy-to-medium,1,0.8120805369,759.4718791946,GLC,0.4646384577,CJ,CJ
22016,Easy-to-medium,2,0.8533333333,685.3598,GLC,0.9999894084,CJ,CJ
22017,Easy-to-medium,1,0.9133333333,768.9326,CJ,0.99955218,CJ,CJ
22017,Easy-to-medium,2,0.9466666667,823.4943333333,GLC,0.9999993941,CJ,CJ
22018,Easy-to-medium,2,0.9,1016.1808,GLC,0.9999804989,CJ2,Complex
22018,Easy-to-medium,1,0.94,969.6122666667,CJ,0.9999994194,CJ2,Complex
22101,Hard-to-medium,1,0.7852348993,733.419261745,GLC,0.9999964956,CJ2,Complex
22101,Hard-to-medium,2,0.9266666667,772.8000666667,GLC,0.999999876,CJ2,Complex
22102,Hard-to-medium,1,0.7986577181,1092.0751677852,GLC,0.9999970966,UDO,UD
22102,Hard-to-medium,2,0.9733333333,696.4365333333,GLC,0.9999999042,UDO,UD
22103,Hard-to-medium,1,0.7651006711,911.4816778523,GLC,0.9999907175,RuleX,Complex
22103,Hard-to-medium,2,0.9733333333,604.2104666667,GLC,0.9999991235,RuleX,Complex
22104,Hard-to-medium,2,0.96,550.2830666667,GLC,0.999979308,SUR,Complex
22104,Hard-to-medium,1,0.7066666667,709.1547333333,GLC,0.9942740219,SUR,Complex
22105,Hard-to-medium,1,0.7733333333,977.1304,GLC,0.999934777,CJ,CJ
22105,Hard-to-medium,2,0.8533333333,604.7712,GLC,0.995720586,CJ,CJ
22106,Hard-to-medium,1,0.5771812081,971.9261744966,UD,0.8200795894,2D,2D
22106,Hard-to-medium,2,0.82,741.2561333333,CJ,0.9978280238,2D,2D
22107,Hard-to-medium,1,0.5570469799,926.0512080537,RND,0.6636613252,RuleX,Complex
22107,Hard-to-medium,2,0.7718120805,874.3134228188,GLC,0.5925622813,RuleX,Complex
22108,Hard-to-medium,2,0.58,677.9526,RND,0.8481870857,SUR,Complex
22108,Hard-to-medium,1,0.6824324324,737.9690540541,GLC,0.6481520536,SUR,Complex
22109,Hard-to-medium,2,0.7718120805,840.8782550336,UD,0.6620056256,UDF,UD
22109,Hard-to-medium,1,0.58,1186.1482,UD,0.8650101815,UDF,UD
22110,Hard-to-medium,1,0.9066666667,1188.1308,GLC,0.9999999807,RuleX,Complex
22110,Hard-to-medium,2,0.98,690.1454786,GLC,0.9999931774,RuleX,Complex
22111,Hard-to-medium,1,0.472972973,1689.0582432432,RND_BIAS,0.6275344836,NA,NA
22111,Hard-to-medium,2,0.4054054054,1578.0325,RND,0.7383089525,NA,NA
22112,Hard-to-medium,1,0.5878378378,928.1887162162,RND,0.4243227489,CJ,CJ
22112,Hard-to-medium,2,0.92,773.6166666667,GLC,0.9999999543,CJ,CJ
22113,Hard-to-medium,2,0.8866666667,703.8149333333,GLC,0.9995401734,NA,NA
22113,Hard-to-medium,1,0.6333333333,1536.9389333333,UD,0.6459281428,NA,NA
22114,Hard-to-medium,1,0.7852348993,898.2216778523,GLC,0.9999900217,CJ2,Complex
22114,Hard-to-medium,2,0.9333333333,641.9924,GLC,0.9999991465,CJ2,Complex
22115,Hard-to-medium,1,0.7248322148,1391.0463087248,GLC,0.999498005,CJ,CJ
22115,Hard-to-medium,2,0.98,729.8119333333,GLC,0.9999914519,CJ,CJ
22116,Hard-to-medium,1,0.6845637584,1319.4132214765,GLC,0.7537444672,RuleX,Complex
22116,Hard-to-medium,2,0.9066666667,858.5524666667,GLC,0.9999941251,RuleX,Complex
22117,Hard-to-medium,2,1,796.7446666667,CJ,0.5000000063,RuleX,Complex
22117,Hard-to-medium,1,0.84,1106.1128,GLC,0.9999999995,RuleX,Complex
22118,Hard-to-medium,1,0.6241610738,1374.5255704698,RND,0.6694501618,RuleX,Complex
22118,Hard-to-medium,2,0.7718120805,1029.6595973154,UD,0.819021191,RuleX,Complex
22119,Hard-to-medium,1,0.6066666667,872.1846,UD,0.8990418334,2D,2D
22119,Hard-to-medium,2,0.744966443,873.7569798658,UD,0.8423640886,2D,2D
22120,Hard-to-medium,1,0.7567567568,929.9395945946,GLC,0.9999207882,CJ,CJ
22120,Hard-to-medium,2,0.8933333333,474.3173333333,GLC,0.9999959021,CJ,CJ
