Participant,Condition,CERE,GW,Agreed,CEREyes,GWyes,simpStrat
101,1,UDW,UDW,UDW,1,1,UD
102,1,CJ2,CJ2,CJ2,1,1,Complex
103,1,UDW,UDW,UDW,1,1,UD
104,1,UDW,UDW,UDW,1,1,UD
105,1,UDW,UDW,UDW,1,1,UD
106,1,UDW,UDW,UDW,1,1,UD
107,1,UDO,UDO,UDO,1,1,UD
108,1,CJ,CJ,CJ,1,1,CJ
109,1,SUR,SUR,SUR,1,1,Complex
110,1,2D,CJ2,2D,1,1,2D
111,1,UDW,UDW,UDW,1,1,UD
112,1,NA,NA,NA,0,0,NA
113,1,SUR,SUR,SUR,1,1,Complex
114,1,CJ,CJ,CJ,1,1,CJ
115,1,SUR,SUR,SUR,1,1,Complex
116,1,CJ,CJ,CJ,1,1,CJ
117,1,UDO,UDO,UDO,1,1,UD
118,1,CJ2,CJ2,CJ2,1,1,Complex
119,1,CJ2,CJ2,CJ2,1,1,Complex
120,1,CJ2,CJ2,CJ2,1,1,Complex
121,1,CJ2,CJ2,CJ2,1,1,Complex
122,1,CJ2,CJ2,CJ2,1,1,Complex
123,1,CJ2,CJ2,CJ2,1,1,Complex
124,1,UDW,UDW,UDW,1,1,UD
125,1,NA,NA,NA,0,0,NA
126,1,SUR,SUR,SUR,1,1,Complex
127,1,CJ2,CJ2,CJ2,1,1,Complex
201,2,SUR,SUR,SUR,1,1,Complex
202,2,CJ,CJ,CJ,1,1,CJ
203,2,SUR,CJ2,SUR,1,1,Complex
204,2,2D,SUR,CJ,1,1,CJ
205,2,NA,NA,NA,0,0,NA
206,2,CJ2,CJ2,CJ2,1,1,Complex
207,2,CJ2,CJ2,CJ2,1,1,Complex
208,2,CJ2,CJ2,CJ2,1,1,Complex
209,2,SUR,SUR,SUR,1,1,Complex
211,2,SUR,SUR,SUR,1,1,Complex
212,2,NA,NA,NA,0,0,NA
213,2,CJ2,CJ2,CJ2,1,1,Complex
215,2,UDW,UDW,UDW,1,1,UD
216,2,CJ,CJ,CJ,1,1,CJ
217,2,UDO,UDO,UDO,1,1,UD
218,2,SUR,SUR,SUR,1,1,Complex
220,2,UDW,UDW,UDW,1,1,UD
221,2,UDO,UDO,UDO,1,1,UD
222,2,CJ2,CJ2,CJ2,1,1,Complex
223,2,CJ2,CJ2,CJ2,1,1,Complex
230,2,CJ2,CJ2,CJ2,1,1,Complex
231,2,CJ2,CJ2,CJ2,1,1,Complex
232,2,NA,NA,NA,0,0,NA
233,2,CJ,CJ,CJ,1,1,CJ
234,2,CJ,CJ,CJ,1,1,CJ
235,2,CJ2,CJ2,CJ2,1,1,Complex
236,2,CJ,CJ,CJ,1,1,CJ
237,2,CJ2,CJ,CJ2,1,1,Complex
